text,pronunciation,description
Xenophobia,[ZEN-uh-FOH-bee-uh],"Fear or hatred of strangers or foreigners, or of anything strange or foreign: ""Their xenophobia and temerity led them headlong into war.""<br>Xenophobia entered English at the beginning of the twentieth century. Its antonym, xenomania (ZEN-uh-MAY-nee-uh), an inordinate attachment to anything or anyone foreign, was coined thirty years earlier but is rarely used today. However, xenophilia (ZEN-uh-FIL-ee-uh), which came into the language in the 1950s, is still in good standing; xenophilia means love for or attraction to foreigners, foreign cultures, or foreign customs.<br>Xenophobia combines the prefix xeno-, which means alien, strange, with the suffix -phobia, which means fear. By derivation, xenophobia is fear of anyone or anything alien or strange. A xenophobe is a person who fears or hates strangers: ""An exclusive community filled with vigilant xenophobes who fear any unfamiliar face."" The adjective xenophobic means affected with xenophobia: ""During times of national crisis, people have a tendency to become hostile and xenophobic.""<br>Many educated speakers—and for some reason, especially the highly educated ones—pronounce xenophobia, xenophobe, and xenophobic with a long e: ZEE-nophobia, ZEE-nophobe, and ZEE-nophobic. These pronunciations were not recognized by dictionaries until the 1980s, and although all current dictionaries now list them, not one lists them first.<br>So take my advice and ignore those overeducated, innovative mispronouncers, who are probably foreign spies. Take a Zen approach and pronounce these words with a short e. Say ZEN-ophobia, ZEN-ophobe, and ZEN-ophobic.<br><br>Fear or hatred of strangers or foreigners, or of anything strange or foreign.<br>Antonyms: xenomania, an inordinate attachment to anything or anyone foreign; xenophilia means love for or attraction to foreigners, foreign cultures, or foreign customs.<br>Etymology: (Greek) prefix xeno-, alien, strange, and suffix -phobia, fear.<br>Related words: xenophobe, a person who fears or hates strangers; xenophobic, affected with xenophobia.<br>Pronunciation tip: In the words xenophobia, xenophobe, and xenophobic, the prefix xeno- should be pronounced ZEN-uh, not ZEE-nuh."
Quotidian,[kwoh-TID-ee-in],"Daily, recurring every day or pertaining to every day, as a quotidian ritual; a quotidian record of events; a quotidian update or report; the quotidian call to order.<br>Quotidian, daily, and diurnal (dy-UR-nul, from the Latin diurnus, of the day, word 49 of Level 2) are synonyms.<br>Quotidian comes from the Latin quotidianus, daily, of every day. Because something that recurs daily soon becomes routine and ordinary, quotidian has also come to mean of an everyday nature, and therefore ordinary, commonplace, trivial: ""The first presentation was eloquent, but the second was dull and quotidian."" ""As he walked he heard the quotidian clamor of the marketplace, where money is forever changing hands.""<br>(1)	Daily, recurring every day or pertaining to every day.<br>(2)	Of an everyday nature; ordinary, commonplace, trivial.<br>Synonym: diurnal (Level 2, Word 49)."
Exigency,[EK-si-jen-see],"An urgency, pressing need; a situation demanding immediate attention or action.<br>Exigency comes from the Latin exigere, to demand, force or drive out, and by derivation means something one is demanded, forced, or driven to do. In current usage we speak of an unforeseen exigency; a financial exigency; front-page newspaper stories focusing on the exigencies of the moment. The corresponding adjective is exigent (EK-si-jint), urgent, pressing, demanding immediate attention or action.<br>According to the Century Dictionary (1914), an exigency is a situation of sudden urgency, in which something needs to be done at once. An emergency is more pressing and therefore less common than an exigency . For example, every day the federal government deals with exigencies in foreign affairs, but only occasionally must it respond to a national emergency. A crisis is an emergency on which the outcome of everything depends, as a midlife crisis, or an economic crisis.<br><br>An urgency, pressing need; a situation demanding immediate attention or action.<br>Etymology: Latin exigere, to demand, force or drive out.<br>N.B. This discussion distinguishes the words exigency, emergency, and crisis."
Pulchritude,[PUHL-kri-T(Y)OOD],"Beauty, loveliness, attractiveness.<br>Pulchritude comes directly from the Latin word for beautiful. In his famous and influential dictionary, published in 1755, Samuel Johnson defined pulchritude as the ""quality opposite to deformity.""<br>Pulchritude is a literary word that is usually applied to persons or things that have great physical beauty or external appeal: a woman of pulchritude; the pulchritude of nature. Occasionally it is used of something whose beauty manifests itself in a more subtle way, as the pulchritude of the soul. What seems meretricious to you may possess pulchritude for another, for as the saying (sort of) goes, ""Pulchritude is in the eye of the beholder.""<br>The corresponding adjective is pulchritudinous (PUHL-kri-T(Y)OOD-’ n-us), physically beautiful or lovely.<br><br>Beauty, loveliness, attractiveness.<br>Corresponding adjective: pulchritudinous."
Denouement,"[DAY-noo-MAW(N)—nasalized n, silent t]","The unraveling or resolution of a plot, as of a novel or a drama; the outcome or resolution of any complex situation.<br>As you can tell from its vowel-laden spelling and nasalized final syllable, denouement comes from French. The word means literally ""an untying,"" as of a knot. Since its introduction into English in the mid-1700s, denouement has been used to mean the untying or unraveling of a narrative or dramatic plot, the final sequence of events leading to a resolution of the story.<br>The Century Dictionary offers this illustrative quotation from the Saturday Review: ""The end, the climax, the culmination, the surprise, the discovery, are all slightly different in meaning from that ingenious loosening of the knot of intrigue which the word denouement implies."" In current usage, denouement has also come to apply to the outcome or resolution of any complex situation, as the denouement of a sensational trial, or the denouement of the negotiations.<br><br>The unraveling or resolution of a plot, as of a novel or a drama; the outcome or resolution of any complex situation."
Fugacious,[fyoo-GAY-shus],"Fleeting, passing quickly away.<br>Synonyms of fugacious include transient (TRAN-shint, word 31 of Level 2), ephemeral (i-FEM-uh-rul, word 12 of Level 4), transitory (TRAN -si-TOR-ee or TRAN-zi-TOR-ee, word 4 of Level 5), and evanescent (EV-uh-NES-int).<br>The words fugacious and fugitive come from the same Latin source, the verb fugere, to flee, fly away. As a noun, fugitive refers to a person who flees, especially from the law; as an adjective, fugitive may mean either fleeing, running away, or passing away quickly, not permanent, temporary. In this last sense it is an exact synonym of the more difficult word fugacious, fleeting, passing swiftly, lasting but a short time.<br><br>Fleeting, passing quickly away.<br>Synonyms: transient (Level 2, Word 31 ), ephemeral (Level 4, Word 12), transitory (Level 5, Word 4), evanescent.<br>Etymology: Fugacious and fugitive come from the Latin fugere, to flee, fly away."
Turbid,[TUR-bid],"Literally, muddy, clouded, roiled, murky, as if from stirred-up sediment; figuratively, muddled, obscure, confused, not lucid.<br>Turbid is often used of liquids to mean muddy or clouded from having the sediment stirred up: a turbid river; turbid wine. It may also apply to air that is thick or dark with smoke or mist. Figuratively, turbid means muddled, disturbed, or confused in thought or feeling.<br>In this figurative sense, turbid sometimes is confused with the words turgid (TUR-jid) and tumid (T(Y)OO-mid).<br>Both turgid and tumid mean swollen, inflated, and both may be used literally or figuratively. However, tumid, perhaps because of its relation to the word tumor, usually is used literally to mean swollen or distended. Turgid usually is used figuratively of language or style that is inflated, pompous, pretentious, bombastic.<br>Turbid never suggests swelling or inflation, but rather muddiness, cloudiness, disturbance, or confusion, as in the nineteenth-century poet Matthew Arnold's line ""the turbid ebb and flow of human misery.""<br><br>Literally, muddy, clouded, roiled, murky, as if from stirred-up sediment; figuratively, muddled, obscure, confused, not lucid.<br>Usage tip: Turbid sometimes is confused with turgid and tumid, which mean swollen, inflated. Tumid usually is used literally to mean swollen or distended; turgid usually is used figuratively of language or style that is inflated pompous, pretentious, bombastic. Turbid never suggests swelling or inflation, but rather muddiness, cloudiness, disturbance, or confusion."
Indefeasible,[IN-di-FEE-zuh-buul],"Not capable of being undone, taken away, annulled, or rendered void.<br>The words defeasance, defeasible, and indefeasible come down to us through Anglo-French and Middle English. They were used in Old English law and are chiefly legal terms today. Defeasance is the oldest of the three; it means either the annulment or voiding of a deed or contract, or a clause within a deed or contract that provides a means for annulling it or rendering it void. Defeasible means capable of being invalidated, undone, or rendered void. Our keyword, indefeasible, which employs the privative prefix in-, meaning ""not,"" means not defeasible, not capable of being undone, annulled, or rendered void.<br>Inalienable and indefeasible are close in meaning and are often used interchangeably. According to the second edition of Webster's New International Dictionary (1934), ""that is indefeasible which one cannot be deprived of without one's consent; that is inalienable which one cannot give away or dispose of even if one wishes.""<br>For example, the U.S. Constitution guarantees all citizens certain inalienable rights, such as personal liberty, freedom of speech, freedom of religion, and so on. When you pay off a mortgage on a house and own it outright, you have an indefeasible title to the house, although you may give up or transfer that title by selling your home or putting the deed in someone else's name.<br>Inalienable means not able to be given away or transferred. Indefeasible means not able to be taken away, undone, or made void.<br><br>Not capable of being undone, taken away, annulled, or rendered void.<br>Related words: defeasance, the annulment or voiding of a deed or contract, or a clause within a deed or contract that provides a means for annulling it or rendering it void; defeasible, capable of being invalidated, undone, or rendered void.<br>N.B. This discussion distinguishes the words . inalienable and indefeasible."
Disingenuous,[DIS-in-JEN-yoo-us],"Insincere, crafty, sly, not straightforward or frank.<br>Synonyms of disingenuous include wily, subtle, slippery, deceptive, hypocritical, fraudulent, and mendacious (men-DAY-shus).<br>The direct antonym is ingenuous, sincere, open, straightforward, without artifice or guile. Other antonyms include truthful, frank, candid, unselfconscious, unaffected, and guileless.<br>The corresponding noun is disingenuousness.<br>Disingenuous combines the prefix dis-, meaning ""not,"" with the Latin ingenuus, which means freeborn, of free birth; hence, noble, honorable, upright. From the Latin ingenuus, by way of French, English has also acquired the word ingénue (AN-zhuh-N(Y)OO), which the Century Dictionary defines as ""a woman or girl who displays innocent candor or simplicity; specifically, such a character represented on the stage, or the actress who plays it.""<br>An ingénue is an ingenuous woman. An ingenuous person is a woman, man, or child who is free from restraint or reserve, and therefore innocent, straightforward, and sincere. A disingenuous person is not sincere or straightforward. Disingenuous words are crafty, subtle, or deceptive.<br><br>Insincere, crafty, sly, not straightforward or frank.<br>Synonyms: wily, subtle, slippery, deceptive, hypocritical, fraudulent, mendacious.<br>Antonyms: ingenuous, truthful, frank, candid, unselfconscious, unaffected, guileless.<br>Corresponding noun: disingenuousness.<br>Etymology and related word: Disingenuous combines the prefix dis-, meaning ""not,"" with the Latin ingenuus, freeborn, of free birth; hence, noble, honorable, upright. From the Latin ingenuus, by way of French, English has also acquired the word ingénue, which the Century Dictionary defines as ""a woman or girl who displays innocent candor or simplicity; specifically, such a character represented on the stage, or the actress who plays it."""
Scurrilous,[SKUR-i-lus or SKUH-ri-lus],"Foul-mouthed, obscene; using or expressed in language that is coarse, vulgar, and abusive.<br>Synonyms of scurrilous include shameless, indelicate, lewd, smutty, ribald (word 42 of Level 7), irreverent, insolent, disparaging, derisive (di-RY-siv), and contumelious (KAHN-t(y)oo-MEEL-ee-us).<br>Antonyms of scurrilous include polite, refined, tasteful, cultured, sophisticated, cultivated, decorous (DEK-ur-us), and urbane (ur-BAYN).<br>The adjective scurrilous comes from the Latin scurrilis, mocking, jesting, or jeering like a buffoon. Scurrilis comes in turn from scurra, a jester, comedian, buffoon, especially one employed to entertain a rich person. By derivation, scurrilous means talking like a buffoon.<br>And what precisely is a buffoon, you ask? Any dictionary will tell you that a buffoon is a person who amuses or attempts to amuse others by clowning around and cracking jokes; however, the savvy lexicographers, or dictionary editors, at Random House include a second definition: ""a person given to coarse or offensive joking."" That sort of buffoon is the one implied by the word scurrilous, which means, as the second edition of Webster's New International Dictionary puts it, ""using, or given to using, the language of low buffoonery; containing low indecency or abuse."" Scurrilous language is coarse, vulgar, and abusive. A scurrilous rogue is a foul-mouthed joker who spouts insolent obscenities.<br>There are two corresponding nouns, scurrility (skuh-RIL-i-tee) and scurrilousness; both may refer to coarse, vulgar, and abusive language, or to an expression of foul-mouthed verbal abuse.<br><br>Foul-mouthed, obscene; using or expressed in language that is coarse, vulgar, and abusive.<br>Synonyms: shameless, indelicate, lewd, smutty, ribald (Level 7, Word 42), irreverent, insolent, disparaging, derisive, contumelious.<br>Antonyms: polite, refined, tasteful, cultured, sophisticated, cultivated, decorous, urbane.<br>Etymology: Latin scurrilis, mocking, jesting, or jeering like a buffoon.<br>Corresponding nouns: scurrility and scurrilousness.<br>"
Recrudescence,[REE-kroo-DES-ints],"A revival, renewal, fresh outbreak after a period of inactivity or quiescence (kwy-ES-ints).<br>Recrudescence comes from the Latin recrudescere, to become raw again, break out again, open afresh. In medicine, recrudescence is used of a wound or sore that partially heals and then reopens, or of a fever that abates and then breaks out again.<br>Does recrudescence strike you as a word you’d never use because you can't imagine how you’d apply it? Well, let me give you a few suggestions.<br>How about sports for the weekend warrior? ""Whenever Ken played basketball or softball without warming up properly, he suffered from a recrudescence of lower back pain.""<br>Now let's try economics: ""Analysts disagree on whether	 the<br>recrudescence of inflation will affect the stock market.""<br>Are you in the retail business? Try this: ""Booksellers are delighted with the recrudescence of interest in high-priced coffee-table volumes, which accounted for a 20 percent increase in sales this holiday season.""<br>Now let's take a stab at the fine arts: ""Some critics are disturbed by the recrudescence of classical themes in contemporary literature and art, though others applaud it.""<br>And let's not forget fashion: ""Madonna may have revolutionized our concept of fashion by turning underwear into outerwear, but it's unlikely that she alone can effect a recrudescence of that most alluring of all exterior female garments, the miniskirt.""<br>And finally, we have romance: ""Seeing John again after all these years,<br>Sally felt a recrudescence of the love for him that she had suppressed since high school.""<br>You see? Recrudescence isn't such an obscure, useless word after all, now is it?<br>The corresponding verb is recrudesce (REE-kroo-DES), to break out again, show renewed activity after an inactive period. The corresponding adjective is recrudescent (REE-kroo-DES-int), breaking out afresh, as a recrudescent epidemic or a recrudescent revolt.<br><br>A revival, renewal, fresh outbreak after a period of inactivity or quiescence.<br>Etymology and usage: Recrudescence comes from the Latin recrudescere, to become raw again, break out again, open afresh. In medicine, recrudescence is used of a wound or sore that partially heals and then reopens, or of a fever that abates and then breaks out again.<br>Corresponding verb: recrudesce, to break out again, show renewed activity after an inactive period.<br>Corresponding adjective: recrudescent, breaking out afresh (a recrudescent epidemic, a recrudescent revolt)."
Defenestrate,[dee-FEN-uh-STRAYT],"To throw something or someone out of a window.<br>I include this humorous but useful word in the event that you may be experiencing a recrudescent urge to give up building your vocabulary and defenestrate Verbal Advantage from a swiftly moving vehicle.<br>The verb to defenestrate combines the prefix de-, meaning ""out,"" with the Latin fenestra, a window. The corresponding noun defenestration means the act of throwing something or someone out of a window.<br>To throw something or someone out of a window.<br>Etymology: prefix de-, out, and Latin fenestra, a window.<br>Corresponding noun: defenestration, the act of throwing something or someone out of a window."
Dilatory,[DIL-uh-TOR-ee],"Delaying, causing or intended to cause delay; also, slow, tardy, characterized by delay or procrastination.<br>Dilatory comes through the Latin dilator, a delayer, procrastinator, loiterer, from dilatus, the past participle of the verb differe, to delay, put off.<br>In current usage, dilatory has two senses. First, it may mean causing or intended to cause delay: The purpose of a dilatory tactic is to delay action; the aim of a dilatory policy is to gain time; and unforeseen circumstances may have a dilatory effect on a project, causing postponement or delay.<br>Second, dilatory may mean characterized by delay or procrastination. When you put off doing something until the last minute, you are being dilatory; when someone responds to your urgent telephone message two days later, that's a dilatory response; and if you pay a bill a month after it's due, that's a dilatory payment.<br><br>Delaying, causing or intended to cause delay; also, slow, tardy, characterized by delay or procrastination."
Vilify,[VIL-i-fy],"To defame, slander, attack with vicious, abusive language.<br>Synonyms of vilify include to disparage, denigrate, stigmatize, malign, revile, vituperate (vy-T(Y)OO-pur-AYT), calumniate (kuh-LUHM-nee-AYT), and traduce (truh-D(Y)OOS).<br>Antonyms include to praise, commend, laud, extol, glorify, eulogize, and venerate.<br>Vilify comes ultimately from the Latin vilis, cheap, worthless. The word vile, in one of its senses, means of little value, and vilify was once used to mean to make vile, render worthless, cheapen, degrade, but this sense is now obsolete. In current usage, vilify means to take cheap shots, make degrading or defamatory statements, render vile or worthless by attacking with vicious, abusive language.<br>Vilify is most often used of persons but it may also apply to things. A racist may vilify a certain ethnic group. A xenophobe may vilify foreigners or a particular foreign nation. And in America, the inalienable right of free speech allows a citizen to vilify the president, and most citizens seem to take advantage of that right at one time or another.<br>The corresponding noun is vilification (VIL-i-fi-KAY-shin), which means either the act of vilifying or a deliberate, vicious, and defamatory verbal assault: ""Politicians and celebrities often find themselves subjected to vilification in the media.""<br><br>To defame, slander, attack with vicious, abusive language.<br>Synonyms: disparage, denigrate, stigmatize, malign, revile, vituperate, calumniate, traduce.<br>Antonyms: praise, commend, laud, extol, glorify, eulogize, venerate.<br>Etymology: Latin vilis, cheap, worthless.<br>Corresponding noun: vilification."
Phlegmatic,[fleg-MAT-ik],"Calm and unemotional; having a sluggish, apathetic temperament; difficult to move to emotion or action.<br>Phlegmatic comes from the Greek phlegmatikos, pertaining to the humor phlegm (FLEM, silent g). This phlegm is different from that slimy stuff you cough up when you have a cold.<br>In ancient and medieval physiology, there were four humors, or bodily fluids, thought to determine a person's health or disposition: blood, also known as the sanguine humor, which made you upbeat, cheerful, and confident; choler (like collar), also known as yellow bile, which made you passionate or irascible; melancholy, also known as black bile, which made you gloomy or dejected; and phlegm, which made you either cool and indifferent or dull and sluggish.<br>From this humor phlegm we inherit the adjective phlegmatic, which by derivation means full of phlegm; hence, having a sluggish, apathetic temperament, calm and unemotional, difficult to move to emotion or action.<br><br>Calm and unemotional; having a sluggish, apathetic temperament; difficult to move to emotion or action.<br>Etymology: Phlegmatic comes from the Greek phlegmatikos, pertaining to the humor phlegm. In ancient and medieval physiology, there were four humors, or bodily fluids, thought to determine a person's health or disposition: blood, also known as the sanguine humor, which made you upbeat, cheerful, and confident; choler, also known as yellow bile, which made you passionate or irascible; melancholy, also known as black bile, which made you gloomy or dejected; and phlegm, which made you either cool and indifferent or dull and sluggish. From this medieval humor phlegm we inherit the adjective phlegmatic, which by derivation means full of phlegm; hence, having a sluggish, apathetic temperament, calm and unemotional, difficult to move to emotion or action."
Adventitious,[AD-ven-TISH-us],"Accidentally or casually acquired, not belonging naturally to something, associated by chance, not inherent or integral.<br>Synonyms of adventitious include foreign, extrinsic, incidental, extraneous, fortuitous, and supervenient (SOO-pur-VEE-nee-int).<br>Adventitious comes from the Latin adventicius, which means ""coming from without or from abroad,"" and by derivation is related to the word advent, which means an arrival, specifically the arrival or birth of Jesus Christ or the season preceding the celebration of His birth.<br>Adventitious suggests something added or imposed from without, something external or extrinsic that is accidentally or casually acquired. Adventitious information is additional and often unrelated information that you acquire casually or by chance in the course of investigating something. Adventitious blindness is caused by an accident, as opposed to blindness occurring at birth. Adventitious income or wealth is fortuitously acquired, and comes to you from some source other than wages or an inheritance.<br><br>Accidentally or casually acquired, not belonging naturally to something, associated by chance, not inherent or integral.<br>Synonyms: foreign, extrinsic, incidental, extraneous, fortuitous, supervenient."
Desiccated,[DES-i-KAY-tid],"Dried or dried up, dehydrated, deprived of moisture.<br>The adjective desiccated is also the past participle of the verb to desiccate, to dry thoroughly. Both words come from the Latin desiccare, to dry completely.<br>Desiccated may apply to food that has been preserved by drying or dehydration, such as fish, cereal, soup, or fruit. It may apply literally to anything that has been thoroughly dried or deprived of moisture, as a desiccated plant, a desiccated mummy, or a steak desiccated on the barbecue. It may also be used figuratively of something that is dried up or deprived of vital juices, as a desiccated affection, a desiccated culture, or a desiccated mind. The corresponding noun is desiccation, the act of drying or dehydrating.<br><br>Dried or dried up, dehydrated, deprived of moisture.<br>Corresponding verb: desiccate, to dry thoroughly.<br>Corresponding noun: desiccation, the act of drying or dehydrating.<br>Etymology: Latin desiccare, to dry completely."
Comity,[KAHM-i-tee],"Courtesy, civility, politeness, respectful and considerate behavior.<br>Comity comes through the Latin comitas, courtesy, friendliness, from comis, courteous, kind, polite.<br>Comity may be used of courteous relations between spouses, roommates, neighbors, coworkers, and so on, but it is perhaps most often used in the expression comity of nations, which means courteous and friendly relations between nations involving recognition and respect for each other's laws and institutions.<br><br>Courtesy, civility, politeness, respectful and considerate behavior.<br>Etymology: Latin comitas, courtesy, friendliness, from comis, courteous, kind, polite. Comity of nations: courteous and friendly relations between nations involving recognition and respect for each other's laws and institutions."
Specious,[SPEE-shus],"Appearing to be true, genuine, or correct but actually false or deceptive; superficially just or reasonable but not so in reality.<br>Specious comes through Middle English from the Latin speciosus, beautiful, splendid, handsome. Speciosus comes in turn from species, outward appearance, and the verb specere, to look at. By derivation, something specious has an outward appearance that is beautiful, splendid, or handsome to look upon but that underneath is false, deceptive, or flawed.<br>In current usage, we speak of a specious argument, specious reasoning, a specious excuse, or a specious answer, meaning that these things seem reasonable, genuine, or true on the surface but in reality they are intended to mislead or deceive.<br>Specious and plausible are close in meaning but not quite synonymous.<br>Webster's New International Dictionary, second edition (1934), explains that ""specious implies a fair appearance assumed with intent to deceive; that is plausible which is superficially reasonable or pleasing, with or without deceit.""<br>The third edition of the American Heritage Dictionary (1992) says ""a specious argument is not simply a false one but one that has the ring of truth. [There is] a certain contradiction in hearing an argument described as obviously specious or specious on the face of things; if the fallaciousness is apparent, the argument was probably not plausible-sounding to begin with.""<br><br>Appearing to be true, genuine, or correct but actually false or deceptive; superficially reasonable or just but not so in reality.<br>Etymology: Latin speciosus, beautiful, splendid, handsome, from species, outward appearance, and specere, to look at. By derivation, something specious has an outward appearance that is beautiful, splendid, or handsome to look upon but that underneath is false, deceptive, or flawed.<br>N.B. This discussion distinguishes the words specious and plausible."
Noisome,[NOY-sum],"Harmful to health or well-being, unwholesome, dangerous, destructive; also, foul-smelling, offensive, disgusting.<br>Synonyms of noisome in the sense of ""harmful to health or well-being"" include injurious, ruinous, deleterious (DEL-i-TEER-ee-us), noxious, baneful, malign, and pernicious.<br>Synonyms of noisome in the sense of ""foul-smelling, offensive, disgusting"" include rank, rancid, putrid (PYOO-trid), fetid (FET-id), malodorous (mal-OH-dur-us), and mephitic (muh-FIT-ik).<br>Antonyms of noisome in both senses include salutary (SAL -yuh-TER-ee) and salubrious (suh-LOO-bree-us).<br>Noisome comes from Middle English and by derivation means harmful, injurious, unwholesome, as a noisome pestilence, a noisome habit, or noisome beliefs. That has been the meaning of the word since it came into the language in the fourteenth century. Perhaps because it is related to the verb to annoy, by the sixteenth century noisome also came to mean foul-smelling, offensive, disgusting, as a noisome stench or noisome breath.<br><br>(1)	Harmful to health or well-being, unwholesome, dangerous, destructive.<br>Synonyms: injurious, ruinous, deleterious, noxious, baneful, malign, pernicious.<br>(2)	Foul-smelling, offensive, disgusting.<br>Synonyms: rank, rancid, putrid, fetid, malodorous, mephitic.<br>Antonyms: salutary, salubrious."
Calumny,[KAL-um-nee],"Defamation of character, slander, a false and malicious statement or accusation meant to injure a person's reputation.<br>Synonyms of calumny include backbiting, denigration, obloquy<br>(AHB-luh-kwee), and vilification (VIL-i-fi-KAY-shin).<br>The noun calumny, the adjective calumnious (kuh-LUHM-nee-us), and the verb to calumniate (kuh-LUHM-nee-AYT) all come through the Latin calumniare, to accuse falsely, from calumnia, a trick. By derivation, and in current usage, calumny means a tricky, nasty, false, and malicious accusation designed to hurt someone's reputation.<br>In 1751, Samuel Johnson wrote that ""to spread suspicion, to invent calumnies, to propagate scandal, requires neither labour nor courage."" And 150 years earlier, in Hamlet, William Shakespeare wrote, ""Be thou as chaste as ice, as pure as snow, thou shalt not escape calumny.""<br><br>Defamation of character, slander, a false and malicious statement or accusation meant to injure a person's reputation.<br>Synonyms: backbiting, denigration, obloquy, vilification.<br>Corresponding adjective: calumnious.<br>Corresponding verb: calumniate.<br>Etymology: Latin calumniare, to accuse falsely, from calumnia, a trick."
Excoriate,[ek-SKOR-ee-AYT],"To strip, scrape, or tear off the skin; hence, to rebuke or denounce harshly and severely.<br>Synonyms of excoriate in the sense of ""stripping off the skin"" include abrade, chafe, scalp, gall, and flay. Synonyms of excoriate in the sense of ""rebuking or denouncing harshly"" include censure, castigate, and vituperate (vy-T(Y)OO-pur-AYT).<br>To excoriate, which comes from Latin, and to flay, which comes from Anglo-Saxon, are close in meaning. Both mean by derivation to strip off the skin, and in modern usage both have also come to mean to rebuke or denounce harshly, to attack or criticize in a severe and scathing manner.<br>Flay also means to whip or lash the skin. If you flay an animal, you either strip off its skin or whip the hide off it. If you flay a person, you whip that person either literally, with a whip, or figuratively, with harsh and scathing words. If you excoriate an animal, you strip off its skin. If you excoriate your knee, you have skinned your knee; you have an abrasion. And if you excoriate a person, you figuratively strip that person's skin off by delivering a harsh or severe rebuke or denunciation. The corresponding noun is excoriation.<br>(1)	To strip, scrape, or tear off the skin.<br>Synonyms: abrade, chafe, scalp, gall, flay.<br>(2)	To rebuke or denounce harshly and severely.<br>Synonyms: censure, castigate, vituperate.<br>N.B. This discussion distinguishes the verbs to flay and to excoriate.<br>Corresponding noun: excoriation."
Lassitude,[LAS-i-T(Y)OOD],"Weariness, fatigue; a weak or exhausted state or feeling; a sluggish relaxation of body or mind.<br>Synonyms of lassitude include listlessness, lethargy (LETH-ur-jee), debility, indolence (IN-duh-lints), inertia (i-NUR-shuh), enervation (EN-urVAY-shin), torpor (TOR-pur), and languor (LANG-gur).<br>Would you like an ultragrandiloquent synonym for lassitude? How about oscitancy? Oscitancy (AHS-i-tin-see) comes through the Latin oscitare, to yawn, gape, open the mouth, from the Latin os, the mouth. Literally, oscitancy means the act of yawning or gaping; figuratively, it means sleepiness, drowsiness, or sluggishness.<br>The Latin os, meaning ""the mouth,"" is the source of another delightful grandiloquent word that is entirely unrelated to this discussion—but you don't mind if I'm desultory, do you? (As I mentioned in the discussion of discursive, word 50 of Level 6, desultory, pronounced DES-ul-TOR-ee, means skipping or leaping from one subject to another in a disconnected way.) At any rate, this Latin os, the mouth, is also the source of the unusual English word osculation (AHS-kyuh-LAY-shin). Osculation denotes a pleasant act, something we all enjoy. With that clue, and knowing that this act has something to do with the mouth, can you guess what osculation means? If you're thinking the act of kissing, then you are a sagacious word sleuth indeed.<br>Now let's get back to our keyword, lassitude, which comes from the Latin lassitudo, weariness, exhaustion. In modern usage, lassitude denotes a weak or exhausted state or feeling; a sluggish relaxation of body or mind. Surfeiting yourself at the dinner table can cause lassitude, and on sultry summer days we often experience lassitude.<br>Fatigue, weariness, and lassitude are close in meaning. Fatigue usually is the result of physical or mental exertion; you feel fatigue after ten or twelve hours of assiduous labor. According to the Century Dictionary (1914), weariness is ""the result of less obvious causes, as long sitting or standing in one position, importunity from others, delays, and the like. Fatigue and weariness are natural conditions,"" says the Century, ""from which one easily recovers by rest."" Lassitude is ""the result of greater fatigue or weariness than one can well bear, and may be of the nature of ill health. The word may, however, be used in a lighter sense."" To illustrate that lighter sense, the Century quotes these lines from the eighteenth-century British poet, essayist, and physician John Armstrong: ""Happy he whose toil/Has o’er his languid, pow'rless limbs diffus’d/a pleasing lassitude.""<br><br>Weariness, fatigue; a weak or exhausted state or feeling; a sluggish relaxation of body or mind.<br>Synonyms: listlessness, lethargy, debility, indolence, inertia, enervation, torpor, languor, oscitancy.<br>Additional useful word: osculation, the act of kissing.<br>N.B. This discussion distinguishes the words fatigue, weariness, and lassitude."
Traduce,[truh-D(Y)OOS],"To publicly disgrace or humiliate by making false and malicious statements; to make a mockery of; expose to public ridicule or contempt.<br>Synonyms of traduce include defame, slander, denigrate, malign<br>(muh-LYN), vituperate (vy-T(Y)OO-pur-AYT), calumniate (kuh-LUHM<br>-nee-AYT), and vilify, word 32 of this level.<br>Antonyms of traduce include praise, compliment, laud, extol, and adulate (AJ-uh-LAYT).<br>Traduce comes from the Latin traducere, to lead across or lead in front of others; hence, to exhibit as a spectacle, expose to ridicule, disgrace or humiliate in public. In modern usage, traduce applies chiefly to making false, malicious, and humiliating statements about people, as to traduce someone's honor, or a scathing editorial that traduces the mayor. Those gossipy newspapers with the sensational, ridiculous headlines that you see in the supermarket checkout line specialize in scandalous stories that traduce well-known people.<br>The noun traducement means the act of traducing, and a traducer is a person who traduces, who makes false, malicious, humiliating statements.<br><br>To publicly disgrace or humiliate by making false and malicious statements; to make a mockery of; expose to public ridicule or contempt.<br>Synonyms: defame, slander, denigrate, malign, vituperate, calumniate, vilify (Level 9, Word 32).<br>Etymology: Traduce comes from the Latin traducere, to lead across or lead in front of others; hence, to exhibit as a spectacle, expose to ridicule, disgrace or humiliate in public<br>Corresponding nouns: traducement, the act of traducing; traducer, a person who traduces, who makes false, malicious, humiliating statements."
